epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,827.097,3.6197,0.60665,0.85014,1.65611,0.00999155,0.00333052,0.00999155,0.00333052,0.00999155,0.00333052,0.00999155,0.00333052
2,1683.75,1.70075,0.73386,0.92432,0.98556,0.019002,0.00633399,0.019002,0.00633399,0.019002,0.00633399,0.019002,0.00633399
3,2481.06,1.35336,0.74673,0.93018,0.92408,0.0270224,0.00900746,0.0270224,0.00900746,0.0270224,0.00900746,0.0270224,0.00900746
4,3300.98,1.27319,0.77798,0.94301,0.80986,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,796.163,1.1251,0.79853,0.95034,0.73185,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,1582.5,1.01403,0.81251,0.95493,0.68895,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,2368.85,0.86909,0.82392,0.95952,0.64716,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,3146.97,0.74246,0.82725,0.96087,0.64676,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,3938.21,0.9092,0.83406,0.96281,0.60764,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,4784.15,0.84635,0.83964,0.96483,0.58811,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,775.452,0.76435,0.84705,0.96677,0.56562,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,1526.87,0.7286,0.85077,0.96693,0.55715,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,2299.51,0.67722,0.85287,0.96851,0.54795,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,3091.85,0.61338,0.85465,0.96907,0.54354,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,3864.4,0.55954,0.85636,0.9697,0.53834,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,4645.74,0.50373,0.85651,0.97061,0.53647,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,5417.86,0.45415,0.85667,0.97057,0.53778,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,6196.34,0.40564,0.85707,0.97053,0.53645,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,6978.32,0.35457,0.85743,0.97085,0.53569,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,7753.26,0.31771,0.85766,0.97065,0.53478,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
